epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.5866,2.68822,4.40447,2.04974,0.00078,0.03654,0.00392,0.00139,2.33426,4.56447,2.03065,0.00022725,0.00022725,0.00022725
2,114.691,2.3853,4.1064,1.74703,0.00785,0.16676,0.0505,0.02225,2.28106,4.27707,1.61712,0.000459,0.000459,0.000459
3,170.055,2.33321,3.75205,1.64362,0.98339,0.05775,0.13055,0.06446,2.23637,3.91326,1.51095,0.000686071,0.000686071,0.000686071
4,231.759,2.32442,3.46465,1.58822,0.97914,0.1307,0.16414,0.08784,2.26273,3.29451,1.51144,0.000882003,0.000882003,0.000882003
5,301.185,2.33004,3.28054,1.63789,0.47751,0.18501,0.16048,0.07596,2.28884,3.05579,1.53297,0.000873004,0.000873004,0.000873004
6,364.728,2.28143,3.01958,1.59975,0.35007,0.23136,0.19502,0.09578,2.27514,3.06295,1.58747,0.000864004,0.000864004,0.000864004
7,431.311,2.26226,2.97203,1.6033,0.39539,0.2599,0.21928,0.11695,2.20541,3.11624,1.5408,0.000855005,0.000855005,0.000855005
8,497.767,2.28783,2.79968,1.59717,0.48268,0.2935,0.24518,0.12096,2.20474,3.10538,1.55037,0.000846006,0.000846006,0.000846006
9,579.55,2.27299,2.79234,1.62177,0.43891,0.31012,0.24982,0.12475,2.25165,2.96792,1.53755,0.000837007,0.000837007,0.000837007
10,641.105,2.27527,2.78651,1.63759,0.43453,0.33679,0.2546,0.12837,2.21237,2.80879,1.54231,0.000828008,0.000828008,0.000828008
11,713.416,2.28079,2.6367,1.59449,0.44302,0.32266,0.26229,0.13471,2.16935,2.61904,1.52541,0.000819009,0.000819009,0.000819009
12,775.062,2.25386,2.61606,1.57458,0.4678,0.31568,0.26726,0.12678,2.19944,2.51835,1.5466,0.00081001,0.00081001,0.00081001
13,841.187,2.18828,2.4592,1.56256,0.48281,0.32803,0.27942,0.13926,2.11865,2.47016,1.55441,0.000801011,0.000801011,0.000801011
14,905.436,2.2286,2.53259,1.60635,0.52923,0.33466,0.32907,0.15582,2.10821,2.40506,1.52786,0.000792012,0.000792012,0.000792012
15,963.462,2.20085,2.47602,1.5737,0.51781,0.37444,0.34413,0.16226,2.08378,2.29828,1.50346,0.000783013,0.000783013,0.000783013
16,1026.42,2.17302,2.3888,1.54253,0.56131,0.36436,0.34967,0.16627,2.10315,2.28566,1.53644,0.000774013,0.000774013,0.000774013
17,1095.54,2.16508,2.31779,1.57535,0.51668,0.39381,0.34617,0.16726,2.05333,2.29076,1.51564,0.000765014,0.000765014,0.000765014
18,1164.99,2.15668,2.28355,1.53929,0.52977,0.36451,0.33161,0.16006,2.06398,2.38018,1.49648,0.000756015,0.000756015,0.000756015
19,1244.79,2.11678,2.20005,1.48331,0.54687,0.37317,0.34063,0.16753,2.0174,2.20058,1.48012,0.000747016,0.000747016,0.000747016
20,1318.23,2.05094,2.16669,1.50272,0.58134,0.40388,0.37324,0.17888,2.05949,2.06679,1.52641,0.000738017,0.000738017,0.000738017
21,1392.97,2.12769,2.22428,1.50031,0.57415,0.42103,0.39,0.1901,2.03285,2.04038,1.48164,0.000729018,0.000729018,0.000729018
22,1467.23,2.07106,2.18873,1.49788,0.57252,0.42761,0.41348,0.20396,1.99609,2.00844,1.47863,0.000720019,0.000720019,0.000720019
